,SPEC1DNAME,ABANDCOR,ABANDCOR_ne,ABANDCOR_pe,VOBS,VOBS_ne,VOBS_pe
0,spec1d.vdgc1.011.gcA10.fits.gz,78.81452,23.015923,25.247467,1810.4825,5.403738,7.014853
1,spec1d.vdgc1.012.gcA17.fits.gz,-2.181509,8.245705,6.884763,1855.5137,6.2042923,6.974825
2,spec1d.vdgc1.014.gcA19.fits.gz,4.5231295,1.9613569,2.8920007,1821.8304,6.584555,3.3122916
3,spec1d.vdgc1.015.gcA20.fits.gz,370.1761,59.210964,67.03638,1875.8278,0.23015922,0.69047767
4,spec1d.vdgc1.026.gcN120.fits.gz,-4.763295,5.98414,4.1028385,1333.0521,9.956888,12.498647
5,spec1d.vdgc1.027.gcN138.fits.gz,16.761597,10.467241,10.147019,1369.9778,7.795393,9.316445
6,spec1d.vdgc1.029.gcN145.fits.gz,1.8112531,7.5852475,8.415822,1330.3203,7.475171,7.775379
7,spec1d.vdgc1.030.gcN147.fits.gz,3.082132,2.1114607,1.5010384,1376.2621,4.2029076,7.945497
8,spec1d.vdgc1.037.gcN206.fits.gz,4.4730945,3.38234,3.4223676,1669.485,10.317138,10.947573
9,spec1d.vdgc1.038.gcN210.fits.gz,-17.882372,13.409277,13.359242,1670.9459,13.409277,15.350619
10,spec1d.vdgc2.010.gcA10.fits.gz,-13.799546,4.6231985,2.6118069,1089.4836,6.594562,6.1742716
11,spec1d.vdgc2.011.gcA11.fits.gz,4.593178,3.77261,4.242935,1037.5577,7.8254137,7.735351
12,spec1d.vdgc2.013.gcA15.fits.gz,-2.1414814,3.3423123,3.2622569,1052.0979,8.115615,9.946881
13,spec1d.vdgc2.015.gcA17.fits.gz,-3.362326,41.16848,23.40619,1121.636,14.550066,32.0922
14,spec1d.vdgc2.017.gcA27.fits.gz,-0.24016616,7.705331,3.9327207,1038.6686,10.717415,26.418276
15,spec1d.vdgc2.029.gcN183.fits.gz,7.255019,2.0314054,3.38234,1323.9259,3.7325823,2.8920007
16,spec1d.vdgc2.035.gcN244.fits.gz,-8.956196,4.152873,4.3530116,1242.1593,4.1228523,5.6338973
17,spec1d.vdgc2.036.gcN253.fits.gz,-18.01246,4.42306,3.2022152,1506.7323,6.76468,4.2029076
18,spec1d.vdgc2.051.gcN395.fits.gz,40.177795,16.251244,13.009,1120.8954,10.417207,10.937566
19,spec1d.vdgc3.009.gcA8.fits.gz,27.048712,4.8633647,4.0728173,1026.7704,8.155642,8.836113
20,spec1d.vdgc3.010.gcA9.fits.gz,-1.7912391,6.0541883,6.9147835,1021.76685,41.218513,57.279625
21,spec1d.vdgc3.011.gcA10.fits.gz,18.142551,7.635282,6.774687,1124.1577,6.3143682,7.275033
22,spec1d.vdgc3.034.gcN103.fits.gz,-6.594562,7.355088,9.676694,859.3545,7.6753097,5.7239594
23,spec1d.vdgc4B.006.gcA12.fits.gz,-2.9320285,4.0828247,5.7239594,1537.3835,8.005538,8.97621
24,spec1d.vdgc4B.007.gcA21.fits.gz,-19.273333,17.53213,11.638051,1601.1477,0.0,10.847505
25,spec1d.vdgc4B.008.gcA24.fits.gz,-15.420669,5.433759,7.05488,1517.8801,0.0,4.5831704
26,spec1d.vdgc4B.009.gcA25.fits.gz,4.3530116,4.3830323,6.2243056,1514.2175,5.5238214,4.002769
27,spec1d.vdgc4B.010.gcA29.fits.gz,15.150481,7.705331,6.9448047,-494.69223,9.106299,9.476556
28,spec1d.vdgc5.005.serendip1.fits.gz,24.637043,4.7532883,4.913399,1912.5232,0.39027,5.4237523
29,spec1d.vdgc5.006.gcA13.fits.gz,34.293724,17.912392,20.68431,1535.7925,8.135628,5.834036
30,spec1d.vdgc5.006.serendip1.fits.gz,-48.353455,1.4409969,1.3309207,1543.3378,5.2936625,4.5731635
31,spec1d.vdgc5.007.gcA16.fits.gz,-14.850273,2.0314054,2.201523,1497.8362,1.9713638,0.8405815
32,spec1d.vdgc5.008.gcA19.fits.gz,-29.030085,2.3516269,2.6618414,1546.67,16.94172,19.503492
33,spec1d.vdgc5.009.serendip1.fits.gz,1.6111146,23.7064,44.94109,1516.0488,16.211216,38.576687
34,spec1d.vdgc5.011.gcA30.fits.gz,-14.6001005,7.7553654,8.776072,1497.2657,11.668072,11.417899
35,spec1d.vdgc5.031.gcN199.fits.gz,14.319906,3.8826861,5.433759,1884.0435,10.267102,7.2049847
36,spec1d.vdgc6.007.gcA8.fits.gz,0.010006923,1.5010384,1.7211907,2104.8762,5.994147,6.9047766
37,spec1d.vdgc6.009.gcA10.fits.gz,3.742589,1.5110455,1.8012462,2077.7573,2.691862,2.821952
38,spec1d.vdgc6.010.gcA11.fits.gz,5.113538,2.0213983,1.7111838,2084.5122,2.9720562,3.3523192
39,spec1d.vdgc6.011.gcA16.fits.gz,4.3430047,2.1214676,2.591793,2271.0913,13.2491665,9.846812
40,spec1d.vdgc6.012.gcA18.fits.gz,28.089432,10.707408,13.579394,1913.3236,39.627415,38.71678
41,spec1d.vdgc6.013.gcA19.fits.gz,17.251936,5.5438356,4.673233,2002.2853,21.805084,28.09944
42,spec1d.vdgc6.014.gcA21.fits.gz,12.148404,5.2336206,6.754673,2117.8452,6.0541883,7.255019
43,spec1d.vdgc6.015.gcA23.fits.gz,23.396185,7.435144,7.6753097,2163.947,12.218453,9.726729
44,spec1d.vdgc6.016.gcA29.fits.gz,0.13009,0.0,0.13009,2002.9657,56.819305,30.280949
45,spec1d.vdgc6.017.serendip1.fits.gz,-1.2108377,5.693939,3.5424507,2095.0994,4.9934545,8.335767
46,spec1d.vdgc6.018.gcA31.fits.gz,0.15010384,15.100447,8.275725,1997.9121,26.318207,62.873497
47,spec1d.vdgc6.019.gcA33.fits.gz,18.332682,6.744666,5.4137454,2076.006,25.737806,25.547674
48,spec1d.vdgc6.021.gcA45.fits.gz,-5.2936625,16.061111,10.527283,2068.1208,1.1808169,3.5524576
49,spec1d.vdgc6.034.gcN184.fits.gz,7.275033,2.6018,2.3716407,2261.2944,6.76468,5.904084
50,spec1d.vdgc6.035.gcN187.fits.gz,5.643904,1.9713638,1.7812324,2281.0981,2.851973,4.6231985
51,spec1d.vdgc6.037.gcN189.fits.gz,-2.1314745,0.82056767,0.7405123,2254.1895,1.7912391,1.5911008
52,spec1d.vdgc6.038.gcN190.fits.gz,11.888225,4.012776,3.6525266,2259.613,4.172887,3.992762
53,spec1d.vdgc6.039.gcN192.fits.gz,6.4144373,2.691862,2.2415507,2289.684,4.413053,4.0427966
54,spec1d.vdgc6.048.gcN230.fits.gz,-6.1342435,4.7032537,4.252942,2060.3054,7.395116,9.88684
55,spec1d.vdgc7.008.gcA8.fits.gz,-11.598023,1.8913084,2.851973,1594.9935,7.955504,3.502423
56,spec1d.vdgc7.009.gcA9.fits.gz,-3.8526654,3.2822707,4.4530807,1538.5144,6.9247904,8.966203
57,spec1d.vdgc7.035.gcN160.fits.gz,-10.667379,2.0914469,2.2815785,2850.0217,0.0,0.0
58,spec1d.vdgc7.036.gcN164.fits.gz,-7.955504,2.0013845,1.4810246,2775.8804,4.3229904,1.0807476
59,spec1d.vdgc7.038.gcN168.fits.gz,9.176349,4.953427,6.494493,2856.176,8.075586,10.547297
60,spec1d.vdgc8.009.gcA11.fits.gz,-20.494179,2.4016614,2.5217447,599.04443,8.0555725,5.7639875
61,spec1d.vdgc8.010.gcA12.fits.gz,-29.970736,7.5652337,6.4744787,685.6243,8.415822,17.14186
62,spec1d.vdgc8.012.gcA18.fits.gz,-36.185036,4.172887,4.4831014,632.23737,2.0514193,6.4144373
63,spec1d.vdgc8.014.gcA21.fits.gz,25.16741,27.238844,85.77934,655.1632,93.59475,68.397316
64,spec1d.vdgc8.015.gcA23.fits.gz,-9.976902,3.38234,2.6118069,636.6204,8.8861475,6.76468
65,spec1d.vdgc8.016.gcA26.fits.gz,-39.01699,11.017622,9.156334,646.9876,16.151173,14.940335
66,spec1d.vdgc8.017.gcA27.fits.gz,-63.233746,7.3751025,4.0327897,618.2977,8.385801,14.099755
67,spec1d.vdgc8.018.gcA29.fits.gz,-22.935867,1.2908931,0.94065076,578.3301,2.1715024,1.7612184
68,spec1d.vdgc8.019.gcA30.fits.gz,-22.135315,1.8612877,1.8112531,610.012,2.6718483,3.372333
69,spec1d.vdgc8.020.gcA32.fits.gz,-21.164642,4.7532883,6.5545344,561.9988,6.344389,6.334382
70,spec1d.vdgc8.021.gcA35.fits.gz,9.396501,4.16288,4.0427966,569.1337,3.6825476,3.9026997
71,spec1d.vdgc8.022.gcA38.fits.gz,-8.756058,0.82056767,0.82056767,600.7156,1.1507962,1.69117
72,spec1d.vdgc8.023.gcA40.fits.gz,437.56268,29.210207,23.946568,687.96594,13.049027,19.453459
73,spec1d.vdgc9B.009.gcA11.fits.gz,2.721883,16.801622,15.961041,697.88275,6.354396,8.696016
74,spec1d.vdgc9B.011.gcA13.fits.gz,-3.2422428,6.8347282,10.277109,712.4729,10.317138,11.588017
75,spec1d.vdgc9B.012.gcA14.fits.gz,-13.569387,7.895462,10.2370825,635.98,7.4051228,6.254327
76,spec1d.vdgc9B.013.gcA23.fits.gz,1.7812324,3.1721945,1.9813707,698.10297,5.643904,4.9934545
77,spec1d.vdgc9B.014.gcA26.fits.gz,-0.67046386,8.395808,9.416515,718.02673,8.926175,5.864057
78,spec1d.vdgc9B.015.gcA29.fits.gz,4.7232676,1.7612184,1.2008307,633.118,2.2315438,2.701869
79,spec1d.vdgc9B.016.gcA30.fits.gz,-1.69117,2.4016614,2.0314054,672.6754,2.0013845,1.4009693
80,spec1d.vdgc9B.017.gcA31.fits.gz,7.9755173,4.883378,5.173579,698.67334,9.7167225,23.436214
81,spec1d.vdgc9B.021.gcN121.fits.gz,-15.170495,12.788847,15.820945,1669.0345,5.613884,8.015545
82,spec1d.vdgc9B.062.gcA16.fits.gz,-36.78545,14.520045,9.686702,660.64703,6.4444585,3.742589
83,spec1d.vdgc9B.063.gcA18.fits.gz,0.82056767,5.733967,5.2536345,632.1173,5.0034614,5.303669
84,spec1d.vdgc9B.064.gcA21.fits.gz,6.6345897,4.933413,6.5045,654.44275,7.3450813,3.632513
85,spec1d.vdgc9B.065.gcA27.fits.gz,-9.796777,12.268487,8.545913,635.6398,12.74882,10.167033
86,spec1d.vugc1.013.GCXL016.fits.gz,-49.35,6.11,4.7,1335.91,6.91,3.42
87,spec1d.vugc1.028.GCBL005.fits.gz,-25.98,1.16,1.66,96.86,3.15,2.8
88,spec1d.vugc1.004.GCXL003.fits.gz,39.34,1.82,2.15,85.78,6.54,7.08
89,spec1d.vugc1.006.GCXL007.fits.gz,24.38,2.33,2.72,38.71,24.23,26.43
90,spec1d.vugc1.010.GCXL012.fits.gz,42.49,3.94,4.41,104.23,8.58,7.88
91,spec1d.vugc1.019.GCXF011.fits.gz,7.27,183.55,17.61,-63.67,57.42,39.31
92,spec1d.vugc5.001.GCXL001.fits.gz,-28.51,6.43,5.59,987.41,7.19,4.7
93,spec1d.vugc5.002.GCXL002.fits.gz,-13.46,7.55,7.44,1052.7,7.03,7.36
94,spec1d.vugc5.003.GCXL003.fits.gz,-6.51,2.55,2.44,1028.8,4.49,3.9
95,spec1d.vugc5.004.GCXL004.fits.gz,-8.9,4.91,4.43,1056.32,8.47,15.56
96,spec1d.vugc5.006.GCXL007.fits.gz,43.67,7.71,13.04,1072.4,5.4,7.14
97,spec1d.vugc5.007.GCXL009.fits.gz,12.32,1.19,1.11,1037.49,2.21,2.32
98,spec1d.vugc5.010.GCXL013.fits.gz,7.84,16.77,16.95,1047.31,7.2,9.73
99,spec1d.vugc5.011.GCXL014.fits.gz,81.95,81.31,76.19,1037.09,2.92,3.79
100,spec1d.vugc5.013.GCXL017.fits.gz,-14.89,4.47,5.03,1051.42,6.45,8.14
101,spec1d.vugc5.015.GCXF002.fits.gz,-9.15,29.25,34.16,1037.3,13.87,10.98
102,spec1d.vugc5.019.GCXF008.fits.gz,-16.57,7.72,8.82,1035.59,11.54,8.56
103,spec1d.vugc5.025.GCBF006.fits.gz,-5.68,19.21,13.55,1047.04,7.47,13.22
104,spec1d.vugc6.001.GCXL001.fits.gz,11.33,4.55,2.5,2113.06,1.04,1.25
105,spec1d.vugc6.002.GCXL002.fits.gz,21.39,10.58,8.46,2128.62,13.07,25.18
106,spec1d.vugc6.003.GCXL003.fits.gz,7.59,3.19,3.22,2134.53,5.91,11.13
107,spec1d.vugc6.004.GCXL004.fits.gz,15.42,3.23,2.99,2099.35,0.04,0.32
108,spec1d.vugc6.005.GCXF003.fits.gz,33.69,5.58,6.31,2094.21,0.09,0.06
109,spec1d.vugc6.006.GCXF005.fits.gz,-11.36,6.59,7.93,2151.7,31.06,40.04
110,spec1d.vugc6.007.GCXF006.fits.gz,-1.47,16.96,18.24,2125.45,8.63,10.34
111,spec1d.vdgc1.000.alg42.fits.gz,48.443516,0.2201523,0.14009692,117.61137,0.21014537,0.21014537
112,spec1d.vdgc1.001.alg115.fits.gz,25.777834,0.6404431,0.5303669,-170.35785,1.6711562,1.5010384
113,spec1d.vdgc1.002.alg140.fits.gz,49.394173,0.8105607,0.61042225,76.86318,1.2108377,1.0807476
114,spec1d.vdgc1.003.alg164.fits.gz,-1.681163,0.38026306,0.42029074,32.882748,0.57039464,0.46031845
115,spec1d.vdgc1.004.alg177.fits.gz,22.915854,0.37025616,0.4002769,34.784065,0.6404431,0.65045
116,spec1d.vdgc1.005.alg191.fits.gz,-61.702686,0.14009692,0.15010384,-29.680532,0.14009692,0.17011769
117,spec1d.vdgc1.006.alg194.fits.gz,20.74435,0.70048463,0.93064386,-18.522814,0.70048463,0.73050535
118,spec1d.vdgc1.020.gcN82.fits.gz,-4.0928316,0.98067844,0.9206369,346.50974,2.3916547,2.5217447
119,spec1d.vdgc1.022.gcN87.fits.gz,17.672226,2.8920007,5.3336897,52.446285,15.981055,12.388571
120,spec1d.vdgc1.023.gcN95.fits.gz,-9.596639,0.32022154,0.2201523,72.63025,0.5804015,0.42029074
121,spec1d.vdgc1.028.gcN143.fits.gz,0.18012461,6.4044304,8.505884,-34.31374,13.419284,9.296431
122,spec1d.vdgc1.031.gcN177.fits.gz,-2.0314054,2.721883,2.4917238,193.30373,6.584555,16.861666
123,spec1d.vdgc1.032.gcN185.fits.gz,23.276102,1.7111838,0.9206369,77.50362,1.8312669,2.1414814
124,spec1d.vdgc1.033.gcN186.fits.gz,11.437912,2.5017307,2.2215369,257.50815,0.0,0.0
125,spec1d.vdgc1.034.gcN189.fits.gz,6.754673,4.2329283,3.6825476,1424.5354,6.0241675,7.0648875
126,spec1d.vdgc1.035.gcN190.fits.gz,4.2129145,1.160803,1.4910315,127.3581,3.77261,3.2622569
127,spec1d.vdgc1.036.gcN195.fits.gz,11.7981615,1.82126,2.47171,1418.4314,7.6052613,9.076279
128,spec1d.vdgc1.039.gcN211.fits.gz,3.9227138,6.0241675,5.573856,183.90723,25.867895,18.152557
129,spec1d.vdgc1.040.serendip1.fits.gz,-8.565926,0.46031845,0.6204293,157.44891,1.3409277,0.2701869
130,spec1d.vdgc1.041.gcN214.fits.gz,16.351313,3.3323052,3.6225061,99.68897,8.686009,10.547297
131,spec1d.vdgc1.042.vir269.fits.gz,34.914154,0.8305746,1.0006922,-46.151928,3.272264,2.34162
132,spec1d.vdgc1.043.vir275.fits.gz,3.5924854,0.28019384,0.31021464,187.65984,1.04072,0.94065076
133,spec1d.vdgc1.044.vir289.fits.gz,5.9441123,0.37025616,0.41028383,186.74919,1.6511422,0.8806092
134,spec1d.vdgc1.045.sgr378.fits.gz,-4.3730254,2.1715024,1.8512807,8.095601,3.5424507,4.152873
135,spec1d.vdgc1.046.sgr388.fits.gz,0.4403046,2.9620492,2.5117376,-26.918621,6.0241675,4.5531497
136,spec1d.vdgc1.047.sgr401.fits.gz,3.64252,3.6625338,3.3523192,13.499339,5.2336206,6.7346587
137,spec1d.vdgc1.048.sgr408.fits.gz,0.85058844,28.019384,18.342691,-15.74089,7.915476,0.31021464
138,spec1d.vdgc1.049.sgr412.fits.gz,10.507269,1.7211907,1.8012462,40.227833,5.553842,6.094216
139,spec1d.vdgc1.050.sgr414.fits.gz,-7.895462,14.840266,7.224998,14.17981,8.766065,7.435144
140,spec1d.vdgc1.051.sgr417.fits.gz,-15.840959,3.9327207,4.673233,7.5952544,13.679463,12.468626
141,spec1d.vdgc1.052.sgr425.fits.gz,39.367237,30.591164,26.79854,-1.541066,5.5138144,5.9240985
142,spec1d.vdgc1.053.sgr426.fits.gz,16.94172,2.1314745,2.6518345,-14.900309,6.3143682,8.065579
143,spec1d.vdgc1.054.sgr433.fits.gz,5.844043,1.4009693,1.1808169,240.14613,3.4123607,2.3115993
144,spec1d.vdgc1.056.mst488.fits.gz,38.33652,10.637359,8.245705,14.630121,7.395116,7.4151297
145,spec1d.vdgc2.000.alg24.fits.gz,46.41211,0.21014537,0.26018,183.7171,0.48033231,0.5603877
146,spec1d.vdgc2.001.alg67.fits.gz,66.93631,0.07004846,0.080055386,1.6611491,0.12008308,0.11007615
147,spec1d.vdgc2.002.alg71.fits.gz,15.060419,0.090062305,0.12008308,47.522877,0.06004154,0.090062305
148,spec1d.vdgc2.003.alg95.fits.gz,135.35364,1.0907545,0.94065076,157.11868,4.1028385,3.3222983
149,spec1d.vdgc2.004.alg109.fits.gz,-19.143244,0.5003461,0.770533,17.682232,3.2922776,3.9627414
150,spec1d.vdgc2.005.alg177.fits.gz,46.922462,1.1808169,1.1507962,125.757,1.2108377,1.0707407
151,spec1d.vdgc2.009.gcA9.fits.gz,24.61703,5.904084,5.6839323,1304.9227,10.767448,12.688778
152,spec1d.vdgc2.014.gcA16.fits.gz,49.274086,24.006609,27.859274,1349.5637,6.9448047,8.445843
153,spec1d.vdgc2.018.gcA29.fits.gz,-56.689217,15.961041,12.948957,1048.4053,24.577002,24.296808
154,spec1d.vdgc2.024.gcN119.fits.gz,5.553842,1.0307131,1.0207062,1234.8042,2.5317514,2.3916547
155,spec1d.vdgc2.025.gcN147.fits.gz,0.18012461,0.13009,0.16011077,58.590534,0.2701869,0.29020074
156,spec1d.vdgc2.026.gcN152.fits.gz,47.4128,2.9720562,2.952042,146.96167,6.9448047,5.5238214
157,spec1d.vdgc2.028.gcN179.fits.gz,-15.911008,4.8633647,4.4530807,1454.7163,1.7412046,3.632513
158,spec1d.vdgc2.030.gcN186.fits.gz,-5.2836556,1.9613569,1.2808862,1019.89557,2.3916547,2.591793
159,spec1d.vdgc2.031.gcN192.fits.gz,-6.514507,1.6511422,1.3109069,1223.0261,0.0,0.0
160,spec1d.vdgc2.032.gcN196.fits.gz,-7.525206,2.5517654,2.1014538,-39.006985,6.9047766,7.8654413
161,spec1d.vdgc2.033.gcN241.fits.gz,0.82056767,1.0307131,1.5210522,-4.2129145,2.9020076,2.851973
162,spec1d.vdgc2.034.gcN242.fits.gz,6.2643337,7.525206,6.604569,1149.6154,6.6445966,6.8247213
163,spec1d.vdgc2.037.gcN259.fits.gz,-0.52036,0.78054,0.59040844,148.82297,1.0307131,0.8706023
164,spec1d.vdgc2.038.gcN298.fits.gz,4.142866,1.7712253,2.1114607,164.04349,9.936873,9.75675
165,spec1d.vdgc2.039.gcN323.fits.gz,-11.648058,2.952042,3.7125683,188.44035,4.803323,3.742589
166,spec1d.vdgc2.040.gcN339.fits.gz,-90.06231,12.398578,11.517968,1464.8534,11.988294,12.268487
167,spec1d.vdgc2.042.gcN343.fits.gz,3.4523883,1.1908238,0.8105607,718.2469,1.69117,1.9413431
168,spec1d.vdgc2.043.gcN351.fits.gz,-3.4623952,1.6111146,2.721883,1614.9473,0.7405123,0.6404431
169,spec1d.vdgc2.044.gcN352.fits.gz,29.40034,7.525206,12.008307,1300.7998,6.37441,8.03556
170,spec1d.vdgc2.045.gcN354.fits.gz,-13.849581,19.8037,13.329221,147.36194,54.57776,24.396877
171,spec1d.vdgc2.047.gcN371.fits.gz,5.864057,2.1214676,2.2615647,215.93939,6.074202,4.773302
172,spec1d.vdgc2.049.gcN386.fits.gz,-9.916861,3.2922776,3.5924854,1135.0853,14.940335,18.883064
173,spec1d.vdgc2.050.gcN387.fits.gz,-5.713953,10.076972,7.5752406,958.5631,26.448298,19.493486
174,spec1d.vdgc2.052.gcN407.fits.gz,9.706716,3.5924854,2.8119454,374.87933,9.986909,10.197055
175,spec1d.vdgc2.053.gcN421.fits.gz,9.426522,3.3423123,2.821952,1428.5784,0.0,0.0
176,spec1d.vdgc2.053.serendip1.fits.gz,-36.775444,0.5804015,0.49033922,-2.451696,3.3122916,4.4931083
177,spec1d.vdgc2.054.gcN446.fits.gz,8.605954,1.7912391,2.34162,1093.1763,5.103531,4.2929697
178,spec1d.vdgc2.055.gcN449.fits.gz,-34.95418,9.626659,11.648058,1017.8341,1.69117,6.6245832
179,spec1d.vdgc2.056.gcN459.fits.gz,1.2308515,3.5424507,3.2022152,1327.6985,5.3436966,8.956196
180,spec1d.vdgc2.057.gcN474.fits.gz,-31.211592,19.063187,17.151865,157.18875,12.1083765,21.715023
181,spec1d.vdgc2.058.vir679.fits.gz,-2.0213983,0.34023538,0.23015922,289.49026,1.0207062,0.97067153
